epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.46835,1.01434,2.98779,1.22694,0.09,0.9759,0.3291,0.284,0.46988,2.79059,0.82617,0.00014,0.00014,0.00014
2,2.45958,0.74864,2.2422,1.04486,0.09111,0.98795,0.3564,0.28077,0.62469,2.66077,0.85831,0.00029406,0.00029406,0.00029406
3,3.43081,0.78197,1.52931,1.00506,0.82292,0.50396,0.78503,0.65274,0.49024,2.36583,0.85785,0.000441784,0.000441784,0.000441784
4,4.35903,0.78133,1.0987,0.99354,1,0.82266,0.97325,0.80169,0.72734,1.72034,0.93626,0.000583172,0.000583172,0.000583172
5,5.26324,0.7408,0.96734,0.99855,0.98729,0.93612,0.97589,0.87125,0.50458,0.85469,0.81917,0.000718224,0.000718224,0.000718224
6,6.15945,0.73841,0.93833,1.01667,0.99758,0.90361,0.96359,0.8545,0.52405,0.64116,0.8362,0.00084694,0.00084694,0.00084694
7,7.05766,0.7311,0.87588,0.99911,0.96037,0.87603,0.934,0.77846,0.67461,0.82729,0.89103,0.00096932,0.00096932,0.00096932
8,7.97588,0.75924,0.8949,1.03459,0.89717,0.90361,0.92935,0.7725,0.65292,0.83958,0.88396,0.00108536,0.00108536,0.00108536
9,8.88009,0.66569,0.83009,0.97591,0.97385,0.89754,0.96979,0.86541,0.49614,0.63747,0.81281,0.00119507,0.00119507,0.00119507
10,9.79631,0.73108,0.88476,1.00656,0.947,0.95181,0.9739,0.86085,0.508,0.61983,0.81405,0.00129844,0.00129844,0.00129844
11,10.7205,0.70071,0.81887,0.98891,0.98727,0.93415,0.97911,0.88911,0.45575,0.56904,0.80092,0.00139548,0.00139548,0.00139548
12,11.6357,0.65407,0.94341,1.00017,0.98091,0.96386,0.98113,0.88423,0.48395,0.5609,0.80715,0.00148618,0.00148618,0.00148618
13,12.535,0.7122,0.82091,1.01204,0.99735,0.92771,0.97746,0.87844,0.47517,0.60659,0.81302,0.0015248,0.0015248,0.0015248
14,13.4652,0.64705,0.73404,0.95959,0.9751,0.94364,0.97959,0.85193,0.51821,0.60982,0.84169,0.0014852,0.0014852,0.0014852
15,14.3204,0.61521,0.67196,0.94789,0.98616,0.9759,0.98397,0.88357,0.4969,0.54318,0.82484,0.0014456,0.0014456,0.0014456
16,15.1546,0.64187,0.70982,1.01168,1,0.97279,0.98518,0.90014,0.46244,0.50504,0.81611,0.001406,0.001406,0.001406
17,16.0138,0.65597,0.73983,0.97352,0.97616,0.9867,0.9854,0.90992,0.42888,0.46469,0.80754,0.0013664,0.0013664,0.0013664
18,16.882,0.60064,0.77202,0.96795,0.99271,0.9759,0.9868,0.89317,0.4346,0.47285,0.80809,0.0013268,0.0013268,0.0013268
19,17.7522,0.68224,0.73845,0.96363,0.99403,0.9759,0.98706,0.89468,0.4551,0.4848,0.80931,0.0012872,0.0012872,0.0012872
20,18.6224,0.60164,0.68058,0.9508,0.99382,0.9759,0.98518,0.89885,0.45029,0.51087,0.81847,0.0012476,0.0012476,0.0012476
21,19.4826,0.75719,1.67477,1.06537,0.99735,0.9759,0.98497,0.92088,0.39313,0.47773,0.82098,0.001208,0.001208,0.001208
22,20.3478,0.583,0.61868,0.94335,0.99855,0.9759,0.98497,0.91086,0.38908,0.4535,0.81902,0.0011684,0.0011684,0.0011684
23,21.182,0.57722,0.62874,0.95085,0.99858,0.9759,0.98467,0.89221,0.44938,0.44624,0.8215,0.0011288,0.0011288,0.0011288
24,22.0502,0.59074,0.6454,0.93119,0.99785,0.9759,0.98477,0.89682,0.47226,0.45692,0.82506,0.0010892,0.0010892,0.0010892
25,22.9334,0.53598,0.64025,0.92927,1,0.97198,0.98457,0.92061,0.39804,0.46459,0.81277,0.0010496,0.0010496,0.0010496
26,23.8206,0.55962,0.58764,0.91312,0.99748,0.9759,0.98507,0.93951,0.36295,0.44742,0.8026,0.00101,0.00101,0.00101
27,24.6658,0.61718,0.66905,0.93404,0.99877,0.9759,0.9854,0.93721,0.36512,0.44883,0.79622,0.0009704,0.0009704,0.0009704
28,25.537,0.55173,0.54342,0.90028,0.99894,0.9759,0.98552,0.91596,0.42683,0.43505,0.79998,0.0009308,0.0009308,0.0009308
29,26.4032,0.56101,0.58776,0.91545,1,0.98689,0.98576,0.91851,0.41172,0.42249,0.80002,0.0008912,0.0008912,0.0008912
30,27.2554,0.51097,0.5308,0.8949,1,0.98708,0.98576,0.92323,0.37782,0.40192,0.80012,0.0008516,0.0008516,0.0008516
31,28.1606,0.57353,0.57889,0.90465,0.99921,0.9759,0.98552,0.92029,0.38139,0.39802,0.8052,0.000812,0.000812,0.000812
32,29.0068,0.56717,0.66948,0.90934,0.99925,0.9759,0.98518,0.92044,0.38842,0.39102,0.80936,0.0007724,0.0007724,0.0007724
33,29.889,0.54033,0.53323,0.90953,0.99925,0.9759,0.98487,0.91132,0.4067,0.39798,0.80784,0.0007328,0.0007328,0.0007328
34,30.7372,0.53522,0.53975,0.90956,0.99918,0.9759,0.98507,0.90124,0.42023,0.39219,0.80677,0.0006932,0.0006932,0.0006932
35,31.5774,0.52671,0.6343,0.91297,0.99911,0.9759,0.97612,0.90673,0.39005,0.38974,0.80678,0.0006536,0.0006536,0.0006536
36,32.4546,0.50734,0.49328,0.89157,0.99925,0.9759,0.98174,0.91752,0.39181,0.39592,0.81604,0.000614,0.000614,0.000614
37,33.3228,0.51314,0.51371,0.89399,0.99923,0.9759,0.98518,0.90722,0.42665,0.40653,0.82589,0.0005744,0.0005744,0.0005744
38,34.18,0.51054,0.57784,0.89291,0.99998,0.9759,0.98518,0.91085,0.40508,0.40879,0.8215,0.0005348,0.0005348,0.0005348
39,35.0182,0.53399,0.5771,0.91408,1,0.97567,0.98564,0.91791,0.37914,0.39458,0.81294,0.0004952,0.0004952,0.0004952
40,35.8524,0.49704,0.5013,0.90473,0.98791,0.98454,0.98651,0.92196,0.38189,0.38152,0.81329,0.0004556,0.0004556,0.0004556
41,45.7596,0.51069,0.81756,0.88665,0.98793,0.98631,0.98649,0.90667,0.39711,0.37599,0.81374,0.000416,0.000416,0.000416
42,46.6328,0.53006,0.56832,0.95326,1,0.97513,0.98664,0.91011,0.40406,0.36564,0.81197,0.0003764,0.0003764,0.0003764
43,47.455,0.42399,0.53223,0.87341,1,0.98693,0.98613,0.9122,0.40131,0.36087,0.80984,0.0003368,0.0003368,0.0003368
44,48.2812,0.43892,0.51135,0.8678,1,0.98691,0.98619,0.92042,0.37899,0.36497,0.80405,0.0002972,0.0002972,0.0002972
45,49.1204,0.45251,0.52865,0.8603,1,0.9868,0.98576,0.92852,0.36799,0.35592,0.80085,0.0002576,0.0002576,0.0002576
46,49.9836,0.43296,0.55993,0.87487,0.99893,0.9759,0.98564,0.93006,0.36681,0.35451,0.79955,0.000218,0.000218,0.000218
47,50.8128,0.44748,0.49032,0.85672,0.99867,0.9759,0.98564,0.92899,0.36431,0.35578,0.79589,0.0001784,0.0001784,0.0001784
48,51.67,0.40154,0.50985,0.87338,0.9987,0.9759,0.98564,0.92831,0.36543,0.35654,0.79607,0.0001388,0.0001388,0.0001388
49,52.5282,0.41974,0.51865,0.86794,0.99883,0.9759,0.98736,0.92595,0.36819,0.35921,0.80114,9.92e-05,9.92e-05,9.92e-05
50,53.3834,0.45351,0.51679,0.87487,0.99887,0.9759,0.9882,0.92517,0.36594,0.35863,0.79784,5.96e-05,5.96e-05,5.96e-05
